source_json,company_id,company_name,report_year,source_doc_id,risk_name,category,subcategory,exposure_score,evidence_quotes,evidence_interpretations,reason,mitigants,metric_hints,need_human_review,quality_sufficiency,quality_need_human_review,quality_notes
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,销售与结算规模下滑,需求周期,住宅销售,3,"2023年本集团实现合同销售面积2,466.0万平方米，合同销售金额3,761.2亿元，同比分别下降 6.2% 和 9.8% || 房地产开发业务实现结算面积 2,961.5 万平方米，同比下降 12.9% ，实现结算收入 4,016.1 亿元，同比下降 9.6% || 截至报告期末，本集团合并报表范围内有 2,338.6 万平方米已售资源未竣工结算，较上年末下降30.4% ，合同金额合计约 3,604.4 亿元，较上年末下降 32.0%",合同销售面积和金额均同比下降，表明市场需求减弱，直接减少未来收入来源。 || 结算面积和收入双降，确认当期收入减少，对利润产生直接压力。 || 已售未结资源大幅下降，暗示未来可结转收入储备萎缩，持续影响未来业绩。,销售金额、结算收入、已售未结金额均显著下降，且降幅在9.8%至32%之间，直接冲击主营业务收入和未来业绩预期，属于高暴露。,精细化目标管理，提升去化表现；开拓多种销售渠道链接新老客户。,合同销售金额同比变化 || 结算收入同比变化 || 已售未结合同金额同比变化,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,开发业务毛利率与利润大幅下降,市场价格,开发业务盈利,3,扣除税金及附加前，房地产开发及相关资产经营业务的毛利率为 15.4% ，较 2022 年下降 4.4 个百分点（本集团对经营性资产采用成本法核算，补回折旧摊销后，毛利率为 16.5% ，下降 4.3 个百分点）；其中开发业务的结算毛利率为 15.7% || 报告期内，本集团实现净利润 204.6 亿元，同比下降 45.6% ；实现权益净利润 121.6 亿元，同比下降46.4% ，主要原因是开发业务结算规模和结算毛利率均有下降，且对部分开发项目计提了减值,开发业务毛利率显著下滑，说明售价相对成本下降或成本控制恶化，压缩盈利空间。 || 净利润降幅接近一半，直接归因于开发业务毛利率下降和减值计提，盈利质量严重恶化。,毛利率下降超过4个百分点，净利润下降超45%，且有明确的减值影响，表明市场价格环境恶化直接损害盈利能力，属于高暴露。,本集团基于审慎的市场策略，对存在风险的项目计提存货跌价准备。,开发业务结算毛利率 || 归属净利润同比变化 || 存货跌价准备新增金额,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,存货减值风险,市场价格,存货减值,3,"报告期内新增计提存货跌价准备 34.9亿元，影响归属于母公司股东的净利润29.5亿元。报告期末，存货跌价准备余额为 79.9亿元 || 资产减值损失(损失以“-”号填列） | (348,995.24) | (44,981.82) | -675.86% | 本年计提减值损失增加",大量计提存货跌价准备，直接削减当期利润，且余额较大，反映资产价值下跌风险。 || 资产减值损失同比暴增675.86%，主要由存货跌价准备增加所致，风险暴露急剧上升。,存货跌价准备新增34.9亿元，减值损失同比增加近7倍，直接影响净利润数十亿元，表明资产价值下行风险已实质兑现，属于高暴露。,基于审慎市场策略计提减值。,新增存货跌价准备金额 || 资产减值损失同比变化,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,有息负债规模高企与净负债率上升,财务流动性,债务结构,2,"截至报告期末，本集团有息负债合计3,200.5亿元，占总资产的比例为 21.3% || 截至 2023 年底，本集团净负债率为 54.7% ，较 2022 年底提高 11.0 个百分点 || 有息负债中，一年内到期的有息负债 624.2亿元，占比为 19.5%",有息负债绝对规模大，占总资产比例超两成，财务杠杆较高。 || 净负债率大幅上升，表明债务相对于权益的增长更快，偿债压力加大。 || 短期债务超600亿元，存在集中到期压力，对流动性形成挑战。,有息负债总额3200亿元，净负债率上升11个百分点，一年内到期债务超600亿元，财务杠杆和短期偿债压力显著，但货币资金998亿元可覆盖短期债务，故归为中暴露。,持有货币资金 998.1 亿元，远高于一年内到期的有息负债总额 624.2 亿元。 || 深圳市国资委表态通过市场化方式支持万科应对风险。,有息负债总额 || 净负债率及同比变动 || 一年内到期有息负债金额,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,汇率波动风险,汇率利率,汇兑损失,2,报告期内本集团产生汇兑亏损约人民币 5.5亿元，主要是由于公司持有部分卢布资产头寸，受卢布贬值所影响 || 分境内境外来看，境内负债占比 80.3% ，境外负债占比 19.7% 。人民币负债占比 80.9% ，外币负债占比19.1%,已产生明确汇兑损失，金额5.5亿元，直接影响利润。 || 境外负债和外币负债均接近20%，暴露于汇率波动之下。,已发生5.5亿元汇兑损失，且外币负债占比近20%，汇率波动对利润和债务成本有实质性影响，但公司使用套期工具部分对冲，故归为中暴露。,本集团坚持对外币资产/负债匹配性、期限结构、境外流动性风险等进行动态管理，采用自然对冲及综合考虑套期成本、适时购买套期保值工具，管控汇率风险敞口。 || 截至报告期末，本集团持有的交叉货币掉期(CCS)合约余额为10.0亿美元。,汇兑损失金额 || 外币负债占比,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,利率变动风险,汇率利率,利率风险,1,分利率类型来看，有息负债中，固定利率负债占比 38.7% ，浮动利率负债占比 61.3%,超过六成的有息负债为浮动利率，若市场利率上行将增加利息支出，但年报未量化当前影响。,浮动利率负债占比高，存在利率波动影响财务费用的潜在风险，但年报未披露已实现损失或具体敏感度分析，证据力度较弱，归为低暴露。,,浮动利率负债占比,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000006_2023/A000006_2023_risk_exposure.json,A000006,深振业Ａ,2023,A000006_2023,房地产市场需求下降,需求周期,收入下降,3,"房地产 | 营业收入 | 元 | 2,810,603,447.85 | 3,699,813,551.41 | -24.03% || 广东省 | 873,248,189.01 | 31.07% | 3,006,917,265.25 | 81.27% | -70.96%","该行显示公司房地产营业收入2023年为2,810,603,447.85元，较上年3,699,813,551.41元下降24.03%，直接证实了需求周期导致的收入下滑。 || 广东省作为公司收入贡献区域之一，2023年收入同比大幅下降70.96%，从约30亿元降至8.73亿元，进一步印证了区域市场需求疲弱。",公司主营业务为房地产，2023年房地产营业收入同比下降24.03%，且广东省收入骤降70.96%，表明市场需求显著萎缩，对收入构成重大影响。,公司将加快项目去化速度，保证公司现金流的安全稳定,房地产营业收入同比变动-24.03% || 广东省收入同比变动-70.96%,False,sufficient,False,证据主要来自财务数据和表格，可支撑上述风险判断。存货减值、现金流恶化、收入下降等证据直接且明确，担保和供应商集中度证据充分。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000006_2023/A000006_2023_risk_exposure.json,A000006,深振业Ａ,2023,A000006_2023,经营活动现金流恶化,财务流动性,现金流,3,"经营活动现金流入小计 2023 年较上年减少 42.30% ，主要系销售回款减少所致。 || 现金及现金等价物净增加额 | -910,763,543.45 | 1,863,139,037.49 | -148.88%",经营活动现金流入同比减少42.30%，直接反映销售回款能力下降，削弱了公司内部现金生成能力。 || 现金及现金等价物净增加额为负值9.1亿元，较上年正值下降148.88%，显示公司整体现金状况恶化。,经营活动现金流入大幅下降42.30%，同时现金净额由正转负，减少约9.1亿元，表明公司现金流紧张，可能影响日常运营和偿债能力。,公司将加快项目去化速度，保证公司现金流的安全稳定,"经营活动现金流入同比变动-42.30% || 现金及现金等价物净增加额-910,763,543.45元",False,sufficient,False,证据主要来自财务数据和表格，可支撑上述风险判断。存货减值、现金流恶化、收入下降等证据直接且明确，担保和供应商集中度证据充分。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000006_2023/A000006_2023_risk_exposure.json,A000006,深振业Ａ,2023,A000006_2023,存货减值导致亏损,市场价格,存货价值下跌,3,本年度计提存货减值准备 8.42亿元，导致本期净利润为负值。,2023年计提8.42亿元存货减值准备，直接使净利润由正转负，显示资产价值面临重大减损风险。,存货减值准备高达8.42亿元，直接导致净利润为负，对盈利能力和资产质量产生重大负面影响。,,存货减值准备8.42亿元,False,sufficient,False,证据主要来自财务数据和表格，可支撑上述风险判断。存货减值、现金流恶化、收入下降等证据直接且明确，担保和供应商集中度证据充分。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000006_2023/A000006_2023_risk_exposure.json,A000006,深振业Ａ,2023,A000006_2023,商品房承购人按揭担保,客户信用/集中度,按揭担保,2,截至 2023 年 12 月 31 日，公司累计为商品房承购人向银行提供抵押贷款担保金额合计约 36.22 亿元,公司为购房者提供的按揭担保余额高达36.22亿元，若购房者违约，公司需承担代偿责任，形成或有负债风险。,担保金额巨大，且为房地产行业普遍存在的或有负债，一旦大规模违约将对公司现金流和财务状况造成冲击。,,按揭担保余额36.22亿元,False,sufficient,False,证据主要来自财务数据和表格，可支撑上述风险判断。存货减值、现金流恶化、收入下降等证据直接且明确，担保和供应商集中度证据充分。
