source_json,company_id,company_name,report_year,source_doc_id,risk_name,category,subcategory,exposure_score,evidence_quotes,evidence_interpretations,reason,mitigants,metric_hints,need_human_review,quality_sufficiency,quality_need_human_review,quality_notes
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000609_2023/A000609_2023_risk_exposure.json,A000609,中迪投资,2023,A000609_2023,资产受限风险,财务流动性,资产抵押,2,3、截至报告期末的资产权利受限情况 || 报告期内公司主要资产计量属性是否发生重大变化□是 否,公司存在资产权利受限情况，具体表格未摘录，但表明部分资产已被抵押或冻结，削弱融资弹性。 || 资产计量属性未变，但受限资产可能限制公司再融资能力。,资产权利受限会减少可用于偿债或新增融资的资产基础，加剧流动性紧张。,,,True,sufficient,False,证据覆盖持续经营、供应商集中、收入下滑、财务费用及资产受限，重大风险均已识别。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000011_2023/A000011_2023_risk_exposure.json,A000011,深物业A,2023,A000011_2023,供应商集中度风险,供应链,采购集中度,3,"前五名供应商合计采购金额占年度采购总额比例 | 61.79% || 序号 | 供应商名称 | 采购额（元） | 占年度采购总额比例 1 | 中建三局第一建设工程有限责任公司 | 826,670,146.63 | 51.68%",前五名供应商采购占比高达61.79%，其中第一大供应商中建三局占51.68%，采购过度集中，一旦主要供应商出现问题将严重影响项目建设和成本。 || 第一大供应商采购额占年度采购总额的51.68%，具有绝对依赖关系，供应链中断风险极高。,前五名供应商合计采购占比61.79%，且第一名占比超过50%，采购集中度极高，对单一供应商依赖强，供应链断裂风险较大。,,前五名供应商采购占比: 61.79% || 第一大供应商采购占比: 51.68%,False,sufficient,False,证据覆盖主要财务指标、集中度、融资、诉讼、汇率等领域，均来自年报原文，足以支撑风险判断。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000029_2023/A000029_2023_risk_exposure.json,A000029,深深房Ａ,2023,A000029_2023,供应商集中度过高,供应链,供应商依赖,3,"前五名供应商合计采购金额（元） | 135,980, 783.49 前五名供应商合计采购金额占年度采购总额比例 | 94.52% || 法人一 | 117,030, 547. 22 | 81.34%",前五名供应商采购额占比高达94.52%，表明公司采购高度集中于少数供应商。 || 第一大供应商采购额占比81.34%，存在单一供应商依赖风险。,前五名供应商采购额占比94.52%，且第一大供应商超过80%，一旦供应商出现问题将严重冲击公司成本及项目进度，暴露度高。,,前五名供应商采购额占年度采购总额比例94.52% || 第一名供应商采购额占比81.34%,False,sufficient,False,证据来自年报原文，风险识别直接且可量化，供应商集中度和需求下行有明确数据支撑，存货减值也有明确说明。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000011_2023/A000011_2023_risk_exposure.json,A000011,深物业A,2023,A000011_2023,地区收入集中度风险,客户信用/集中度,地区集中度,3,"深圳 | 2,569,038,060.46 | 86.64% | 3,122,667,234.12 | 84.20% | -17.73% 其他 | 396,078,964.58 | 13.36% | 586,001,812.73 | 15.80% | -32.41%",深圳地区收入占总收入86.64%，且同比下降17.73%，其他地区仅占13.36%且下降32.41%，收入高度集中于单一地区，若深圳市场恶化将对公司收入产生重大不利影响。,收入高度集中于深圳地区（86.64%），且该地区收入同比下降，集中度风险暴露程度高，一旦深圳市场波动将严重影响公司整体收入。,,深圳地区收入占比: 86.64% || 深圳地区收入同比变动: -17.73% || 其他地区收入占比: 13.36%,False,sufficient,False,证据覆盖主要财务指标、集中度、融资、诉讼、汇率等领域，均来自年报原文，足以支撑风险判断。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000090_2023/A000090_2023_risk_exposure.json,A000090,天健集团,2023,A000090_2023,商品房承购人抵押贷款担保风险,客户信用/集中度,担保风险,3,"本公司作为房地产开发商，历史上根据房地产经营惯例为商品房承购人提供抵押贷款担保，截至 2023 年 12月 31 日，尚未解除担保的担保余额为 750,193.00 万元。",公司为购房者提供巨额抵押贷款担保，担保余额高达75亿元，若购房者大面积违约，公司将承担代偿义务，形成重大或有负债风险。,担保余额75亿元规模巨大，远超公司净利润（约15.17亿元），一旦触发代偿将严重冲击现金流和盈利能力，属于高暴露风险。,,"担保余额750,193.00万元",False,sufficient,False,基于年报中明确的毛利率变动和担保余额数据，识别出两项重大风险，证据充分且直接。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000631_2023/A000631_2023_risk_exposure.json,A000631,顺发恒业,2023,A000631_2023,地区收入集中度风险,客户信用/集中度,地区集中度,3,"浙江省 | 2,236,502,722. 25 | 99.99%",该行显示公司营业收入中浙江省占比高达99.99%，表明收入对单一地区高度依赖，若该地区经济或政策发生不利变化，将对公司整体收入产生重大影响。,营业收入99.99%来自浙江省，地区集中度极高，一旦该区域市场下行或政策变动，公司缺乏其他地区的缓冲，收入可能大幅下滑。,聚焦长三角、珠三角等负荷消纳中心，战略布局全国优质资源点，精准投资风、光、水、储、综等优质项目,浙江省收入占比99.99%,False,sufficient,False,所有风险均有明确的年报原文证据支撑，关键金额、比例及同比数据均完整可查。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000809_2023/A000809_2023_risk_exposure.json,A000809,铁岭新城,2023,A000809_2023,重大销售合同履行风险,客户信用/集中度,合同未正常履行,3,"64套钢混塔筒 | 昌图润航新能源有限公司 | 31,456 | 0 | 0 | 31,456 | 否 | 由于对方风电项目并网时间由 2024年12月推迟至2025年12月，同时对方为提高风电项目发电效率及收益，重新优化风机机型的选择，导致合同未正常履行，该项目的供货时间将后移至2024年和2025年。 || 64套钢混塔筒 | 昌图润荣新能源有限公司 | 31,456 | 0 | 0 | 31,456 | 否 | 由于对方风电项目并网时间由 2024年12月推迟至2025年12月，同时对方为提高风电项目发电效率及收益，重新优化风机机型的选择,导致合同未正常履行，该项目的供货时间将后移至2024年和 2025年。",与昌图润航的3.15亿元合同本年度未履行，因客户项目延期及机型优化，影响当期收入且未来履行存在不确定性。 || 与昌图润荣的3.15亿元合同同样未履行，原因相同，两合同合计6.29亿元待履行，客户信用风险暴露显著。,两笔重大合同均未按计划履行，金额巨大且原因为客户原因，直接影响公司收入和经营计划，暴露程度高。,,"待履行合同金额62,912万元",False,sufficient,False,证据均来源于年报原文，风险点清晰，量化数据充分，覆盖政策、财务、合规、供应链、需求、客户履约等领域，共7条风险暴露，未超出12条上限。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000909_2023/A000909_2023_risk_exposure.json,A000909,ST数源,2023,A000909_2023,客户集中度与关联方依赖风险,客户信用/集中度,客户集中,3,"前五名客户合计销售金额（元） | 378,352,103.20
前五名客户合计销售金额占年度销售总额比例 | 56.21%
前五名客户销售额中关联方销售额占年度销售总额比例 | 47.82%",公司前五名客户销售额占年度总销售额的56.21%，其中关联方销售额占47.82%，表明客户高度集中且严重依赖关联方，一旦主要客户或关联方出现信用问题或业务变化，将直接影响公司收入。,客户集中度数据揭示了公司收入对少数客户的严重依赖，且关联交易占比较高，增加收入不确定性和信用风险。,经营计划中提及加强与合作伙伴沟通、加快销售回款,前五名客户集中度 || 关联方销售占比,False,sufficient,False,通过年报证据抽取了6条风险，包括3条高风险（诉讼合规、财务流动性、客户集中度），1条中风险（市场价格波动），2条低风险（政策、竞争）。每条风险均有明确原文证据支撑，证据充分。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,存货减值风险,市场价格,存货减值,3,"报告期内新增计提存货跌价准备 34.9亿元，影响归属于母公司股东的净利润29.5亿元。报告期末，存货跌价准备余额为 79.9亿元 || 资产减值损失(损失以“-”号填列） | (348,995.24) | (44,981.82) | -675.86% | 本年计提减值损失增加",大量计提存货跌价准备，直接削减当期利润，且余额较大，反映资产价值下跌风险。 || 资产减值损失同比暴增675.86%，主要由存货跌价准备增加所致，风险暴露急剧上升。,存货跌价准备新增34.9亿元，减值损失同比增加近7倍，直接影响净利润数十亿元，表明资产价值下行风险已实质兑现，属于高暴露。,基于审慎市场策略计提减值。,新增存货跌价准备金额 || 资产减值损失同比变化,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000002_2023/A000002_2023_risk_exposure.json,A000002,万科Ａ,2023,A000002_2023,开发业务毛利率与利润大幅下降,市场价格,开发业务盈利,3,扣除税金及附加前，房地产开发及相关资产经营业务的毛利率为 15.4% ，较 2022 年下降 4.4 个百分点（本集团对经营性资产采用成本法核算，补回折旧摊销后，毛利率为 16.5% ，下降 4.3 个百分点）；其中开发业务的结算毛利率为 15.7% || 报告期内，本集团实现净利润 204.6 亿元，同比下降 45.6% ；实现权益净利润 121.6 亿元，同比下降46.4% ，主要原因是开发业务结算规模和结算毛利率均有下降，且对部分开发项目计提了减值,开发业务毛利率显著下滑，说明售价相对成本下降或成本控制恶化，压缩盈利空间。 || 净利润降幅接近一半，直接归因于开发业务毛利率下降和减值计提，盈利质量严重恶化。,毛利率下降超过4个百分点，净利润下降超45%，且有明确的减值影响，表明市场价格环境恶化直接损害盈利能力，属于高暴露。,本集团基于审慎的市场策略，对存在风险的项目计提存货跌价准备。,开发业务结算毛利率 || 归属净利润同比变化 || 存货跌价准备新增金额,False,sufficient,False,证据覆盖销售、盈利、负债、汇率等关键风险领域，每项风险均有可审计的量化数据支撑，符合年报披露范围。
output/risk_exposure_sw3_430101_25_strict/02_stage2/A000006_2023/A000006_2023_risk_exposure.json,A000006,深振业Ａ,2023,A000006_2023,存货减值导致亏损,市场价格,存货价值下跌,3,本年度计提存货减值准备 8.42亿元，导致本期净利润为负值。,2023年计提8.42亿元存货减值准备，直接使净利润由正转负，显示资产价值面临重大减损风险。,存货减值准备高达8.42亿元，直接导致净利润为负，对盈利能力和资产质量产生重大负面影响。,,存货减值准备8.42亿元,False,sufficient,False,证据主要来自财务数据和表格，可支撑上述风险判断。存货减值、现金流恶化、收入下降等证据直接且明确，担保和供应商集中度证据充分。
