risk_name,category,subcategory,record_count,company_count,avg_exposure_score,max_exposure_score
供应商集中度风险,供应链,采购集中,3,3,1.6667,2
地区收入集中度风险,客户信用/集中度,地区集中度,3,3,2.6667,3
供应商集中度风险,供应链,采购集中度,2,2,2.5,3
供应商集中度风险,供应链,供应商集中度,2,2,2.0,2
客户集中度风险,客户信用/集中度,客户集中度,2,2,1.5,2
供应商集中度,供应链,采购集中,1,1,2.0,2
供应商集中度偏高,供应链,供应商集中度,1,1,2.0,2
供应商集中度过高,供应链,供应商依赖,1,1,3.0,3
供应商集中度过高,供应链,供应商集中,1,1,2.0,2
供应商集中度风险,供应链,供应商集中,1,1,2.0,2
供应商集中度高,供应链,供应商依赖,1,1,2.0,2
供应商集中风险,供应链,采购集中度,1,1,2.0,2
供应商集中风险,供应链,采购集中,1,1,2.0,2
拆迁进度不及预期,供应链,土地开发,1,1,2.0,2
施工承包价格波动,供应链,施工成本,1,1,2.0,2
商品房承购人抵押贷款担保风险,客户信用/集中度,担保风险,1,1,3.0,3
商品房承购人按揭担保,客户信用/集中度,按揭担保,1,1,2.0,2
商品房承购人按揭贷款担保风险,客户信用/集中度,个人客户信用,1,1,2.0,2
客户信用风险,客户信用/集中度,信用损失,1,1,2.0,2
客户按揭担保违约风险,客户信用/集中度,按揭担保,1,1,1.0,1
客户按揭担保风险,客户信用/集中度,按揭担保,1,1,2.0,2
客户集中度与关联方依赖风险,客户信用/集中度,客户集中,1,1,3.0,3
客户集中度风险,客户信用/集中度,销售客户集中,1,1,2.0,2
按揭贷款担保风险,客户信用/集中度,客户信用风险,1,1,2.0,2
按揭贷款担保风险,客户信用/集中度,或有负债,1,1,2.0,2
重大销售合同履行风险,客户信用/集中度,合同未正常履行,1,1,3.0,3
产品价格波动风险,市场价格,大宗商品价格,1,1,3.0,3
住房价格波动,市场价格,房地产价格,1,1,3.0,3
医疗美容成本上升风险,市场价格,营业成本,1,1,2.0,2
存货减值导致亏损,市场价格,存货价值下跌,1,1,3.0,3
存货减值风险,市场价格,存货减值,1,1,3.0,3
存货减值风险,市场价格,存货可变现净值,1,1,2.0,2
开发业务毛利率与利润大幅下降,市场价格,开发业务盈利,1,1,3.0,3
房地产开发毛利率大幅下降,市场价格,开发成本,1,1,3.0,3
房地产行业成本上升导致毛利率大幅下降,市场价格,营业成本,1,1,3.0,3
房地产销售成本上升,市场价格,建安成本,1,1,3.0,3
房地产销售毛利率下降,市场价格,销售毛利率,1,1,2.0,2
房地产项目资产减值,市场价格,资产价值波动,1,1,3.0,3
投资基金公允价值波动,市场价格,金融资产公允价值,1,1,2.0,2
毛利率下降风险,市场价格,成本上升导致毛利压缩,1,1,3.0,3
股权投资减值风险,市场价格,资产减值,1,1,2.0,2
资产减值风险,市场价格,资产价值,1,1,2.0,2
金融资产公允价值波动风险,市场价格,金融资产,1,1,2.0,2
城市更新政策变化风险,政策监管,城市更新,1,1,2.0,2
城市规划调整,政策监管,规划审批,1,1,2.0,2
宏观政策变化风险,政策监管,行业政策,1,1,1.0,1
政策监管风险,政策监管,房地产调控政策,1,1,3.0,3
政策调控与行业风险,政策监管,房地产调控,1,1,2.0,2
政策风险,政策监管,宏观经济、土地、房地产及新能源政策,1,1,2.0,2
资金管理受限,政策监管,资金监管,1,1,2.0,2
利率变动风险,汇率利率,利率风险,1,1,1.0,1
汇率波动风险,汇率利率,汇兑损失,1,1,2.0,2
汇率波动风险,汇率利率,汇率变动,1,1,1.0,1
汇率波动风险,汇率利率,外汇风险,1,1,2.0,2
会计差错更正导致的财务报告风险,诉讼合规治理,收入确认方法调整,1,1,2.0,2
监管处罚与信息披露违规风险,诉讼合规治理,信息披露违规,1,1,3.0,3
营业外支出重大风险（保证金损失及违约金）,诉讼合规治理,合同纠纷与行政处罚,1,1,3.0,3
董事短线交易处罚风险,诉讼合规治理,个人违规,1,1,1.0,1
诉讼及合规风险,诉讼合规治理,监管处罚,1,1,3.0,3
诉讼合规与资产冻结风险,诉讼合规治理,诉讼冻结,1,1,2.0,2
退市风险警示,诉讼合规治理,退市风险警示,1,1,3.0,3
商誉减值风险,财务流动性,资产减值,1,1,2.0,2
子公司亏损及资产减值,财务流动性,子公司经营,1,1,2.0,2
存货减值风险,财务流动性,资产减值,1,1,2.0,2
存货高企,财务流动性,存货减值,1,1,2.0,2
季度业绩大幅波动风险,财务流动性,季度盈利与现金流波动,1,1,3.0,3
投资收益亏损风险,财务流动性,非经常性损益,1,1,2.0,2
持续经营能力不确定性,财务流动性,持续经营,1,1,3.0,3
持续经营重大不确定性,财务流动性,持续经营,1,1,3.0,3
按揭贷款担保风险,财务流动性,或有负债,1,1,2.0,2
有息负债规模高企与净负债率上升,财务流动性,债务结构,1,1,2.0,2
流动性风险,财务流动性,现金流,1,1,2.0,2
现金流恶化风险,财务流动性,经营及筹资现金流,1,1,3.0,3
现金流紧张风险,财务流动性,经营活动现金流,1,1,3.0,3
现金流风险,财务流动性,经营现金流,1,1,3.0,3
短期偿债压力,财务流动性,短期负债,1,1,1.0,1
短期偿债压力与资金流动性风险,财务流动性,现金流紧张,1,1,3.0,3
筹资活动现金流净流出大幅增加,财务流动性,现金流,1,1,3.0,3
经营活动现金流大幅下降,财务流动性,现金流,1,1,3.0,3
经营活动现金流大幅流出,财务流动性,现金净流出,1,1,3.0,3
经营活动现金流恶化,财务流动性,现金流,1,1,3.0,3
经营活动现金流波动风险,财务流动性,现金流波动,1,1,2.0,2
经营现金流为负且融资困难,财务流动性,现金流压力,1,1,3.0,3
融资受限风险,财务流动性,融资环境,1,1,2.0,2
融资风险,财务流动性,外部融资依赖,1,1,2.0,2
财务流动性风险,财务流动性,偿债与现金流,1,1,2.0,2
财务流动性风险,财务流动性,融资渠道限制与成本,1,1,2.0,2
财务流动性风险,财务流动性,资产负债恶化,1,1,3.0,3
财务费用大幅上升,财务流动性,利息支出,1,1,2.0,2
资产受限风险,财务流动性,资产抵押,1,1,2.0,2
资产规模偏小,财务流动性,资本实力,1,1,2.0,2
资金周转和偿债风险,财务流动性,偿债能力,1,1,3.0,3
非经常性损益依赖风险,财务流动性,盈利质量,1,1,2.0,2
不可抗力风险,运营安全环保,自然灾害/公共卫生,1,1,1.0,1
项目运营风险,运营安全环保,项目开发管理,1,1,2.0,2
业务地区集中风险,需求周期,区域市场依赖,1,1,3.0,3
业务模式单一,需求周期,行业集中,1,1,2.0,2
产品去化压力导致的经营风险,需求周期,产品去化,1,1,3.0,3
国际业务经营风险,需求周期,国际工程需求,1,1,3.0,3
土地储备不足制约未来发展,需求周期,资源储备,1,1,1.0,1
存货高企风险,需求周期,房地产存货,1,1,2.0,2
市场竞争加剧风险,需求周期,竞争,1,1,1.0,1
建筑施工业务亏损与下滑,需求周期,业务萎缩,1,1,2.0,2
房地产市场需求下行,需求周期,行业周期,1,1,3.0,3
房地产市场需求下行导致去化困难,需求周期,房地产市场需求低迷,1,1,3.0,3
房地产市场需求下降,需求周期,收入下降,1,1,3.0,3
房地产市场需求下降,需求周期,房地产销售,1,1,3.0,3
房地产行业需求下行,需求周期,行业周期,1,1,3.0,3
房地产行业需求下行风险,需求周期,主营业务收入下降,1,1,2.0,2
